Row,Day,day_of_week,date,page_loads,unique_visits,first_time_visits,returning_visits
1739,Tuesday,3,2019-06-18,4225,3013,2461,552
1740,Wednesday,4,2019-06-19,4162,2882,2351,531
1741,Thursday,5,2019-06-20,3716,2615,2137,478
1742,Friday,6,2019-06-21,3333,2275,1853,422
1743,Saturday,7,2019-06-22,1918,1360,1118,242
1744,Sunday,1,2019-06-23,2344,1621,1317,304
1745,Monday,2,2019-06-24,3691,2591,2149,442
1746,Tuesday,3,2019-06-25,4035,2770,2247,523
1747,Wednesday,4,2019-06-26,3939,2675,2186,489
1748,Thursday,5,2019-06-27,3738,2671,2197,474
1749,Friday,6,2019-06-28,2846,2021,1657,364
1750,Saturday,7,2019-06-29,1733,1199,983,216
1751,Sunday,1,2019-06-30,2184,1494,1240,254
1752,Monday,2,2019-07-01,3512,2485,2001,484
1753,Tuesday,3,2019-07-02,3675,2636,2163,473
1754,Wednesday,4,2019-07-03,3831,2579,2144,435
1755,Thursday,5,2019-07-04,2801,1971,1648,323
1756,Friday,6,2019-07-05,2552,1790,1446,344
1757,Saturday,7,2019-07-06,1950,1291,1110,181
1758,Sunday,1,2019-07-07,2110,1477,1209,268
1759,Monday,2,2019-07-08,4303,2903,2383,520
1760,Tuesday,3,2019-07-09,3883,2799,2335,464
1761,Wednesday,4,2019-07-10,4244,2907,2347,560
1762,Thursday,5,2019-07-11,3765,2669,2150,519
1763,Friday,6,2019-07-12,3286,2276,1816,460
1764,Saturday,7,2019-07-13,1851,1305,1063,242
1765,Sunday,1,2019-07-14,2580,1754,1433,321
1766,Monday,2,2019-07-15,4140,2911,2382,529
1767,Tuesday,3,2019-07-16,4076,2785,2285,500
1768,Wednesday,4,2019-07-17,4141,2900,2360,540
1769,Thursday,5,2019-07-18,3898,2774,2249,525
1770,Friday,6,2019-07-19,3027,2078,1641,437
1771,Saturday,7,2019-07-20,1831,1271,1033,238
1772,Sunday,1,2019-07-21,2282,1617,1356,261
1773,Monday,2,2019-07-22,4138,2890,2376,514
1774,Tuesday,3,2019-07-23,4049,2868,2344,524
1775,Wednesday,4,2019-07-24,4272,2963,2359,604
1776,Thursday,5,2019-07-25,4089,2755,2210,545
1777,Friday,6,2019-07-26,3277,2264,1842,422
1778,Saturday,7,2019-07-27,1954,1308,1069,239
1779,Sunday,1,2019-07-28,2111,1509,1239,270
1780,Monday,2,2019-07-29,3625,2539,2053,486
1781,Tuesday,3,2019-07-30,4415,2906,2386,520
1782,Wednesday,4,2019-07-31,3854,2743,2260,483
1783,Thursday,5,2019-08-01,4114,2771,2262,509
1784,Friday,6,2019-08-02,3492,2280,1874,406
1785,Saturday,7,2019-08-03,1849,1312,1096,216
1786,Sunday,1,2019-08-04,2239,1630,1347,283
1787,Monday,2,2019-08-05,3976,2664,2191,473
1788,Tuesday,3,2019-08-06,4061,2833,2284,549
1789,Wednesday,4,2019-08-07,3702,2675,2215,460
1790,Thursday,5,2019-08-08,3622,2553,2112,441
1791,Friday,6,2019-08-09,3039,2033,1660,373
1792,Saturday,7,2019-08-10,1848,1265,1049,216
1793,Sunday,1,2019-08-11,2082,1502,1242,260
1794,Monday,2,2019-08-12,3807,2574,2121,453
1795,Tuesday,3,2019-08-13,3993,2667,2215,452
1796,Wednesday,4,2019-08-14,3567,2517,2087,430
1797,Thursday,5,2019-08-15,3484,2450,2046,404
1798,Friday,6,2019-08-16,2994,2022,1663,359
1799,Saturday,7,2019-08-17,1793,1276,1074,202
1800,Sunday,1,2019-08-18,2422,1721,1477,244
1801,Monday,2,2019-08-19,4070,2847,2371,476
1802,Tuesday,3,2019-08-20,3987,2800,2293,507
1803,Wednesday,4,2019-08-21,3355,2407,1963,444
1804,Thursday,5,2019-08-22,2925,1959,1627,332
1805,Friday,6,2019-08-23,3010,2143,1769,374
1806,Saturday,7,2019-08-24,1896,1380,1151,229
1807,Sunday,1,2019-08-25,2501,1791,1497,294
1808,Monday,2,2019-08-26,3851,2714,2257,457
1809,Tuesday,3,2019-08-27,4403,3075,2622,453
1810,Wednesday,4,2019-08-28,4627,3125,2623,502
1811,Thursday,5,2019-08-29,4221,2982,2477,505
1812,Friday,6,2019-08-30,3025,2102,1727,375
1813,Saturday,7,2019-08-31,1998,1386,1179,207
1814,Sunday,1,2019-09-01,2297,1645,1414,231
1815,Monday,2,2019-09-02,3192,2272,1910,362
1816,Tuesday,3,2019-09-03,4087,2921,2434,487
1817,Wednesday,4,2019-09-04,4787,3348,2842,506
1818,Thursday,5,2019-09-05,4483,3078,2570,508
1819,Friday,6,2019-09-06,3571,2483,2095,388
1820,Saturday,7,2019-09-07,2263,1566,1343,223
1821,Sunday,1,2019-09-08,2948,2118,1827,291
1822,Monday,2,2019-09-09,4521,3287,2785,502
1823,Tuesday,3,2019-09-10,4563,3251,2758,493
1824,Wednesday,4,2019-09-11,4598,3365,2901,464
1825,Thursday,5,2019-09-12,4603,3356,2868,488
1826,Friday,6,2019-09-13,3349,2508,2121,387
1827,Saturday,7,2019-09-14,2437,1716,1451,265
1828,Sunday,1,2019-09-15,3188,2367,2082,285
1829,Monday,2,2019-09-16,5291,3839,3280,559
1830,Tuesday,3,2019-09-17,5477,3815,3273,542
1831,Wednesday,4,2019-09-18,5257,3726,3222,504
1832,Thursday,5,2019-09-19,5000,3500,3028,472
1833,Friday,6,2019-09-20,3890,2822,2407,415
1834,Saturday,7,2019-09-21,2654,1994,1739,255
1835,Sunday,1,2019-09-22,3656,2640,2328,312
1836,Monday,2,2019-09-23,5223,3804,3291,513
1837,Tuesday,3,2019-09-24,5276,3826,3287,539
1838,Wednesday,4,2019-09-25,5476,3838,3306,532
1839,Thursday,5,2019-09-26,5196,3718,3208,510
1840,Friday,6,2019-09-27,4052,2863,2448,415
1841,Saturday,7,2019-09-28,2635,1945,1696,249
1842,Sunday,1,2019-09-29,4076,2895,2541,354
1843,Monday,2,2019-09-30,5167,3754,3216,538
1844,Tuesday,3,2019-10-01,4972,3634,3082,552
1845,Wednesday,4,2019-10-02,5143,3683,3209,474
1846,Thursday,5,2019-10-03,4753,3454,2941,513
1847,Friday,6,2019-10-04,3795,2854,2440,414
1848,Saturday,7,2019-10-05,2920,2118,1827,291
1849,Sunday,1,2019-10-06,3950,2850,2471,379
1850,Monday,2,2019-10-07,5493,3929,3432,497
1851,Tuesday,3,2019-10-08,5652,4186,3705,481
1852,Wednesday,4,2019-10-09,5617,3936,3388,548
1853,Thursday,5,2019-10-10,5234,3802,3261,541
1854,Friday,6,2019-10-11,4118,3147,2674,473
1855,Saturday,7,2019-10-12,2863,2111,1803,308
1856,Sunday,1,2019-10-13,4032,3013,2645,368
1857,Monday,2,2019-10-14,5476,4022,3466,556
1858,Tuesday,3,2019-10-15,5542,4117,3572,545
1859,Wednesday,4,2019-10-16,5340,3966,3403,563
1860,Thursday,5,2019-10-17,5388,3905,3333,572
1861,Friday,6,2019-10-18,4309,3097,2675,422
1862,Saturday,7,2019-10-19,3117,2223,1897,326
1863,Sunday,1,2019-10-20,4234,3081,2679,402
1864,Monday,2,2019-10-21,5698,4144,3507,637
1865,Tuesday,3,2019-10-22,5721,4132,3536,596
1866,Wednesday,4,2019-10-23,6018,4446,3823,623
1867,Thursday,5,2019-10-24,5563,3995,3397,598
1868,Friday,6,2019-10-25,4159,2961,2461,500
1869,Saturday,7,2019-10-26,2732,2057,1753,304
1870,Sunday,1,2019-10-27,3901,2854,2460,394
1871,Monday,2,2019-10-28,5749,4120,3529,591
1872,Tuesday,3,2019-10-29,5821,4140,3576,564
1873,Wednesday,4,2019-10-30,5647,4059,3452,607
1874,Thursday,5,2019-10-31,5219,3689,3180,509
1875,Friday,6,2019-11-01,4054,3010,2604,406
1876,Saturday,7,2019-11-02,2815,2170,1889,281
1877,Sunday,1,2019-11-03,4253,3063,2603,460
1878,Monday,2,2019-11-04,5816,4184,3640,544
1879,Tuesday,3,2019-11-05,5843,4176,3549,627
1880,Wednesday,4,2019-11-06,6058,4351,3672,679
1881,Thursday,5,2019-11-07,6291,4489,3810,679
1882,Friday,6,2019-11-08,4604,3357,2839,518
1883,Saturday,7,2019-11-09,3354,2337,2000,337
1884,Sunday,1,2019-11-10,4190,3075,2634,441
1885,Monday,2,2019-11-11,5931,4194,3573,621
1886,Tuesday,3,2019-11-12,6443,4589,3877,712
1887,Wednesday,4,2019-11-13,5805,4275,3572,703
1888,Thursday,5,2019-11-14,5753,4172,3569,603
1889,Friday,6,2019-11-15,4709,3452,2927,525
1890,Saturday,7,2019-11-16,3418,2506,2136,370
1891,Sunday,1,2019-11-17,4821,3387,2872,515
1892,Monday,2,2019-11-18,6444,4699,3985,714
1893,Tuesday,3,2019-11-19,6607,4772,4119,653
1894,Wednesday,4,2019-11-20,6726,4781,4115,666
1895,Thursday,5,2019-11-21,6334,4462,3840,622
1896,Friday,6,2019-11-22,4575,3214,2724,490
1897,Saturday,7,2019-11-23,3414,2474,2118,356
1898,Sunday,1,2019-11-24,4535,3242,2787,455
1899,Monday,2,2019-11-25,5970,4467,3836,631
1900,Tuesday,3,2019-11-26,5630,4115,3522,593
1901,Wednesday,4,2019-11-27,5384,3823,3225,598
1902,Thursday,5,2019-11-28,4201,3223,2747,476
1903,Friday,6,2019-11-29,3799,2947,2504,443
1904,Saturday,7,2019-11-30,3301,2443,2053,390
1905,Sunday,1,2019-12-01,4420,3308,2849,459
1906,Monday,2,2019-12-02,6384,4674,4031,643
1907,Tuesday,3,2019-12-03,6964,4975,4285,690
1908,Wednesday,4,2019-12-04,6957,4959,4252,707
1909,Thursday,5,2019-12-05,6350,4671,3989,682
1910,Friday,6,2019-12-06,5324,3796,3258,538
1911,Saturday,7,2019-12-07,3795,2760,2362,398
1912,Sunday,1,2019-12-08,5013,3636,3159,477
1913,Monday,2,2019-12-09,7005,5250,4569,681
1914,Tuesday,3,2019-12-10,6606,4791,4131,660
1915,Wednesday,4,2019-12-11,6686,4902,4240,662
1916,Thursday,5,2019-12-12,6163,4533,3871,662
1917,Friday,6,2019-12-13,4581,3272,2801,471
1918,Saturday,7,2019-12-14,2930,2240,1958,282
1919,Sunday,1,2019-12-15,3585,2672,2280,392
1920,Monday,2,2019-12-16,4925,3653,3128,525
1921,Tuesday,3,2019-12-17,4743,3441,2895,546
1922,Wednesday,4,2019-12-18,4716,3390,2918,472
1923,Thursday,5,2019-12-19,3793,2821,2381,440
1924,Friday,6,2019-12-20,2688,1906,1583,323
1925,Saturday,7,2019-12-21,1682,1177,1020,157
1926,Sunday,1,2019-12-22,1880,1411,1190,221
1927,Monday,2,2019-12-23,2451,1738,1442,296
1928,Tuesday,3,2019-12-24,1644,1197,977,220
1929,Wednesday,4,2019-12-25,1483,1027,851,176
1930,Thursday,5,2019-12-26,1864,1355,1102,253
1931,Friday,6,2019-12-27,1927,1319,1109,210
1932,Saturday,7,2019-12-28,1679,1219,1019,200
1933,Sunday,1,2019-12-29,1962,1299,1111,188
1934,Monday,2,2019-12-30,2469,1762,1479,283
1935,Tuesday,3,2019-12-31,1750,1192,1005,187
1936,Wednesday,4,2020-01-01,1554,1105,870,235
1937,Thursday,5,2020-01-02,2820,2083,1754,329
1938,Friday,6,2020-01-03,2970,2180,1859,321
1939,Saturday,7,2020-01-04,2111,1526,1300,226
1940,Sunday,1,2020-01-05,2393,1788,1514,274
1941,Monday,2,2020-01-06,3704,2770,2341,429
1942,Tuesday,3,2020-01-07,3760,2915,2492,423
1943,Wednesday,4,2020-01-08,3698,2844,2402,442
1944,Thursday,5,2020-01-09,4243,3374,2910,464
1945,Friday,6,2020-01-10,3177,2415,2043,372
1946,Saturday,7,2020-01-11,2361,1834,1581,253
1947,Sunday,1,2020-01-12,2762,2238,1961,277
1948,Monday,2,2020-01-13,4298,3242,2727,515
1949,Tuesday,3,2020-01-14,3838,2884,2450,434
1950,Wednesday,4,2020-01-15,3754,2864,2470,394
1951,Thursday,5,2020-01-16,3817,2951,2510,441
1952,Friday,6,2020-01-17,3175,2419,2006,413
1953,Saturday,7,2020-01-18,2336,1927,1681,246
1954,Sunday,1,2020-01-19,2597,2031,1717,314
1955,Monday,2,2020-01-20,3715,2948,2505,443
1956,Tuesday,3,2020-01-21,4459,3501,3017,484
1957,Wednesday,4,2020-01-22,4483,3552,3079,473
1958,Thursday,5,2020-01-23,4225,3295,2805,490
1959,Friday,6,2020-01-24,3111,2484,2131,353
1960,Saturday,7,2020-01-25,2353,1784,1535,249
1961,Sunday,1,2020-01-26,3198,2520,2213,307
1962,Monday,2,2020-01-27,4432,3539,3058,481
1963,Tuesday,3,2020-01-28,4664,3654,3148,506
1964,Wednesday,4,2020-01-29,4471,3544,3025,519
1965,Thursday,5,2020-01-30,4486,3499,3031,468
1966,Friday,6,2020-01-31,3527,2704,2304,400
1967,Saturday,7,2020-02-01,2514,1995,1728,267
1968,Sunday,1,2020-02-02,2993,2409,2106,303
1969,Monday,2,2020-02-03,4728,3694,3174,520
1970,Tuesday,3,2020-02-04,4883,3982,3472,510
1971,Wednesday,4,2020-02-05,5071,4061,3528,533
1972,Thursday,5,2020-02-06,4638,3715,3217,498
1973,Friday,6,2020-02-07,3757,2942,2512,430
1974,Saturday,7,2020-02-08,2761,2193,1890,303
1975,Sunday,1,2020-02-09,3423,2849,2498,351
1976,Monday,2,2020-02-10,5066,4016,3464,552
1977,Tuesday,3,2020-02-11,4928,4045,3499,546
1978,Wednesday,4,2020-02-12,4996,4019,3497,522
1979,Thursday,5,2020-02-13,5004,3823,3188,635
1980,Friday,6,2020-02-14,3675,2949,2529,420
1981,Saturday,7,2020-02-15,2556,2024,1757,267
1982,Sunday,1,2020-02-16,3732,2808,2361,447
1983,Monday,2,2020-02-17,4958,3951,3382,569
1984,Tuesday,3,2020-02-18,4869,3806,3273,533
1985,Wednesday,4,2020-02-19,5224,4042,3495,547
1986,Thursday,5,2020-02-20,4890,3748,3212,536
1987,Friday,6,2020-02-21,3678,2914,2528,386
1988,Saturday,7,2020-02-22,2456,2025,1759,266
1989,Sunday,1,2020-02-23,3444,2708,2387,321
1990,Monday,2,2020-02-24,5000,3974,3390,584
1991,Tuesday,3,2020-02-25,5496,4210,3601,609
1992,Wednesday,4,2020-02-26,5059,4014,3468,546
1993,Thursday,5,2020-02-27,4813,3759,3247,512
1994,Friday,6,2020-02-28,3810,3052,2569,483
1995,Saturday,7,2020-02-29,2682,2169,1858,311
1996,Sunday,1,2020-03-01,3332,2754,2379,375
1997,Monday,2,2020-03-02,4872,3801,3264,537
1998,Tuesday,3,2020-03-03,5097,3956,3452,504
1999,Wednesday,4,2020-03-04,4714,3591,3118,473
2000,Thursday,5,2020-03-05,5048,3994,3428,566
2001,Friday,6,2020-03-06,3698,2843,2386,457
2002,Saturday,7,2020-03-07,2670,2095,1798,297
2003,Sunday,1,2020-03-08,3416,2743,2362,381
2004,Monday,2,2020-03-09,4731,3830,3269,561
2005,Tuesday,3,2020-03-10,4820,3718,3169,549
2006,Wednesday,4,2020-03-11,4813,3711,3182,529
2007,Thursday,5,2020-03-12,4393,3508,2952,556
2008,Friday,6,2020-03-13,3316,2613,2172,441
2009,Saturday,7,2020-03-14,2416,1888,1569,319
2010,Sunday,1,2020-03-15,2934,2251,1937,314
2011,Monday,2,2020-03-16,2732,2157,1809,348
2012,Tuesday,3,2020-03-17,3805,3007,2525,482
2013,Wednesday,4,2020-03-18,3748,2976,2508,468
2014,Thursday,5,2020-03-19,3678,2883,2471,412
2015,Friday,6,2020-03-20,3322,2647,2239,408
2016,Saturday,7,2020-03-21,2701,2049,1749,300
2017,Sunday,1,2020-03-22,3263,2469,2120,349
2018,Monday,2,2020-03-23,4105,3166,2690,476
2019,Tuesday,3,2020-03-24,4156,3247,2766,481
2020,Wednesday,4,2020-03-25,4153,3367,2878,489
2021,Thursday,5,2020-03-26,4256,3394,2944,450
2022,Friday,6,2020-03-27,3818,3002,2588,414
2023,Saturday,7,2020-03-28,3045,2438,2103,335
2024,Sunday,1,2020-03-29,4079,3047,2603,444
2025,Monday,2,2020-03-30,4899,3852,3280,572
2026,Tuesday,3,2020-03-31,4943,3822,3310,512
2027,Wednesday,4,2020-04-01,4907,3799,3317,482
2028,Thursday,5,2020-04-02,4933,3838,3305,533
2029,Friday,6,2020-04-03,4665,3498,2975,523
2030,Saturday,7,2020-04-04,3366,2536,2175,361
2031,Sunday,1,2020-04-05,3976,3045,2644,401
2032,Monday,2,2020-04-06,4981,3921,3351,570
2033,Tuesday,3,2020-04-07,5331,4144,3552,592
2034,Wednesday,4,2020-04-08,5331,4203,3656,547
2035,Thursday,5,2020-04-09,5063,3982,3426,556
2036,Friday,6,2020-04-10,4252,3354,2869,485
2037,Saturday,7,2020-04-11,3656,2712,2279,433
2038,Sunday,1,2020-04-12,4152,3125,2666,459
2039,Monday,2,2020-04-13,5089,3922,3379,543
2040,Tuesday,3,2020-04-14,5491,4314,3721,593
2041,Wednesday,4,2020-04-15,5665,4424,3754,670
2042,Thursday,5,2020-04-16,5423,4203,3592,611
2043,Friday,6,2020-04-17,4688,3682,3146,536
2044,Saturday,7,2020-04-18,4055,3007,2521,486
2045,Sunday,1,2020-04-19,4830,3671,3057,614
2046,Monday,2,2020-04-20,5908,4517,3869,648
2047,Tuesday,3,2020-04-21,5633,4377,3722,655
2048,Wednesday,4,2020-04-22,5786,4520,3856,664
2049,Thursday,5,2020-04-23,5967,4758,4074,684
2050,Friday,6,2020-04-24,4937,3879,3319,560
2051,Saturday,7,2020-04-25,4327,3284,2814,470
2052,Sunday,1,2020-04-26,5086,3964,3393,571
2053,Monday,2,2020-04-27,6038,4771,4054,717
2054,Tuesday,3,2020-04-28,6324,4920,4210,710
2055,Wednesday,4,2020-04-29,6062,4735,4006,729
2056,Thursday,5,2020-04-30,5520,4375,3776,599
2057,Friday,6,2020-05-01,4670,3621,3068,553
2058,Saturday,7,2020-05-02,4171,3145,2683,462
2059,Sunday,1,2020-05-03,4716,3648,3067,581
2060,Monday,2,2020-05-04,5939,4567,3882,685
2061,Tuesday,3,2020-05-05,6361,4900,4169,731
2062,Wednesday,4,2020-05-06,6659,5322,4580,742
2063,Thursday,5,2020-05-07,6264,4857,4067,790
2064,Friday,6,2020-05-08,5359,4202,3592,610
2065,Saturday,7,2020-05-09,4593,3452,2932,520
2066,Sunday,1,2020-05-10,5092,3917,3338,579
2067,Monday,2,2020-05-11,6563,5112,4278,834
2068,Tuesday,3,2020-05-12,6124,4775,4028,747
2069,Wednesday,4,2020-05-13,5817,4596,3886,710
2070,Thursday,5,2020-05-14,6057,4583,3937,646
2071,Friday,6,2020-05-15,4958,3829,3183,646
2072,Saturday,7,2020-05-16,3651,2827,2384,443
2073,Sunday,1,2020-05-17,4248,3291,2737,554
2074,Monday,2,2020-05-18,5624,4231,3588,643
2075,Tuesday,3,2020-05-19,5595,4300,3666,634
2076,Wednesday,4,2020-05-20,5213,4106,3466,640
2077,Thursday,5,2020-05-21,5156,3990,3372,618
2078,Friday,6,2020-05-22,4350,3343,2816,527
2079,Saturday,7,2020-05-23,3446,2696,2291,405
2080,Sunday,1,2020-05-24,3945,2969,2479,490
2081,Monday,2,2020-05-25,4639,3610,3054,556
2082,Tuesday,3,2020-05-26,5224,4069,3416,653
2083,Wednesday,4,2020-05-27,5242,4105,3474,631
2084,Thursday,5,2020-05-28,4939,3966,3371,595
2085,Friday,6,2020-05-29,4387,3486,2949,537
2086,Saturday,7,2020-05-30,3327,2583,2189,394
2087,Sunday,1,2020-05-31,3692,2919,2482,437
2088,Monday,2,2020-06-01,4734,3707,3133,574
2089,Tuesday,3,2020-06-02,4727,3690,3057,633
2090,Wednesday,4,2020-06-03,4994,3869,3239,630
2091,Thursday,5,2020-06-04,4767,3733,3156,577
2092,Friday,6,2020-06-05,4124,3247,2778,469
2093,Saturday,7,2020-06-06,3230,2425,2045,380
2094,Sunday,1,2020-06-07,3906,3049,2574,475
2095,Monday,2,2020-06-08,4895,3787,3188,599
2096,Tuesday,3,2020-06-09,4871,3644,3050,594
2097,Wednesday,4,2020-06-10,4989,3857,3269,588
2098,Thursday,5,2020-06-11,4633,3560,3015,545
2099,Friday,6,2020-06-12,4475,3292,2757,535
2100,Saturday,7,2020-06-13,2967,2304,1942,362
2101,Sunday,1,2020-06-14,3507,2684,2282,402
2102,Monday,2,2020-06-15,4337,3348,2794,554
2103,Tuesday,3,2020-06-16,4470,3461,2964,497
2104,Wednesday,4,2020-06-17,4439,3450,2898,552
2105,Thursday,5,2020-06-18,4895,3677,3132,545
2106,Friday,6,2020-06-19,3924,2911,2459,452
2107,Saturday,7,2020-06-20,2827,2190,1851,339
2108,Sunday,1,2020-06-21,3481,2668,2256,412
2109,Monday,2,2020-06-22,4627,3493,2935,558
2110,Tuesday,3,2020-06-23,4561,3493,2950,543
2111,Wednesday,4,2020-06-24,4626,3521,2982,539
2112,Thursday,5,2020-06-25,4137,3215,2668,547
2113,Friday,6,2020-06-26,3555,2675,2248,427
2114,Saturday,7,2020-06-27,2671,1999,1680,319
2115,Sunday,1,2020-06-28,3486,2635,2233,402
2116,Monday,2,2020-06-29,4000,3119,2616,503
2117,Tuesday,3,2020-06-30,3828,3013,2553,460
2118,Wednesday,4,2020-07-01,3935,3049,2599,450
2119,Thursday,5,2020-07-02,3633,2881,2397,484
2120,Friday,6,2020-07-03,2997,2286,1932,354
2121,Saturday,7,2020-07-04,2194,1704,1420,284
2122,Sunday,1,2020-07-05,2948,2198,1836,362
2123,Monday,2,2020-07-06,4049,3215,2724,491
2124,Tuesday,3,2020-07-07,3792,2998,2485,513
2125,Wednesday,4,2020-07-08,4029,3096,2613,483
2126,Thursday,5,2020-07-09,3945,3039,2587,452
2127,Friday,6,2020-07-10,3523,2620,2173,447
2128,Saturday,7,2020-07-11,2646,1981,1665,316
2129,Sunday,1,2020-07-12,3454,2611,2213,398
2130,Monday,2,2020-07-13,3703,2916,2459,457
2131,Tuesday,3,2020-07-14,3680,2853,2397,456
2132,Wednesday,4,2020-07-15,3479,2627,2196,431
2133,Thursday,5,2020-07-16,3756,2916,2463,453
2134,Friday,6,2020-07-17,3289,2557,2122,435
2135,Saturday,7,2020-07-18,2416,1892,1606,286
2136,Sunday,1,2020-07-19,2793,2197,1892,305
2137,Monday,2,2020-07-20,3749,2881,2428,453
2138,Tuesday,3,2020-07-21,3786,2889,2450,439
2139,Wednesday,4,2020-07-22,4002,3039,2566,473
2140,Thursday,5,2020-07-23,3823,3033,2525,508
2141,Friday,6,2020-07-24,3430,2623,2262,361
2142,Saturday,7,2020-07-25,2400,1767,1487,280
2143,Sunday,1,2020-07-26,2835,2207,1869,338
2144,Monday,2,2020-07-27,4001,3031,2523,508
2145,Tuesday,3,2020-07-28,3795,2969,2525,444
2146,Wednesday,4,2020-07-29,3903,3010,2591,419
2147,Thursday,5,2020-07-30,3397,2687,2265,422
2148,Friday,6,2020-07-31,3005,2317,1887,430
2149,Saturday,7,2020-08-01,2305,1750,1479,271
2150,Sunday,1,2020-08-02,2696,1993,1701,292
2151,Monday,2,2020-08-03,3866,2814,2368,446
2152,Tuesday,3,2020-08-04,3826,2845,2400,445
2153,Wednesday,4,2020-08-05,3673,2774,2334,440
2154,Thursday,5,2020-08-06,3660,2625,2189,436
2155,Friday,6,2020-08-07,3136,2364,1941,423
2156,Saturday,7,2020-08-08,2223,1628,1354,274
2157,Sunday,1,2020-08-09,2623,1941,1644,297
2158,Monday,2,2020-08-10,3638,2745,2325,420
2159,Tuesday,3,2020-08-11,3740,2742,2258,484
2160,Wednesday,4,2020-08-12,3767,2904,2477,427
2161,Thursday,5,2020-08-13,3621,2780,2322,458
2162,Friday,6,2020-08-14,2971,2308,1922,386
2163,Saturday,7,2020-08-15,2221,1696,1373,323
2164,Sunday,1,2020-08-16,2724,2037,1686,351
2165,Monday,2,2020-08-17,3456,2638,2181,457
2166,Tuesday,3,2020-08-18,3581,2683,2184,499
2167,Wednesday,4,2020-08-19,2064,1564,1297,267
